casetas,tramo_que_cobra,tipo_vehiculo,costo
Tlalpan,Mexico - Cuernavaca,motos,37.0
Alpuyeca,Cuernavaca-Alpuyeca,motos,22.0
Paso Morelos,Pte de Ixtla-Chilpancingo,motos,50.0
Paso Morelos,Pte de Ixtla-Paso Morelos,motos,26.0
Paso Morelos,Paso Morelos-Chilpancingo,motos,41.0
Palo Blanco,Chilpancingo-Tierra Colorada,motos,46.0
La Venta,Tierra Colorada-Acapulco,motos,41.0
Xochitepec,Cuernavaca-Xochitepec,motos,10.0
Aeropuerto,Cuernavaca-Aeropuerto,motos,5.0
Aeropuerto,Aeropuerto-Cuernavaca,motos,5.0
Emiliano Zapata,Cuernavaca-Central de Abastos,motos,3.0
Tampico,Ent Cd Valles-Ent Altamira,motos,13.0
Tampico,Ent Cd Valles-Loma Real,motos,6.0
Tampico,Loma Real-Ent Altamira,motos,7.0
Cuitlahuac,Cordoba-La Tinaja,motos,46.0
Cuitlahuac,Cordoba-Cuitlahuac,motos,16.0
Cuitlahuac,Cuitlahuac-La Tinaja,motos,30.0
Paso del Toro,La Tinaja-Veracruz,motos,43.0
Paso del Toro,La Tinaja-Paso del Toro,motos,35.0
Paso del Toro,Paso del Toro-Veracruz,motos,7.0
Cosamaloapan,La Tinaja-Isla,motos,91.0
Cosamaloapan,La Tinaja-Cosamaloapan,motos,75.0
Cosamaloapan,Cosamaloapan-Isla,motos,16.0
Sayula,Isla-Cosoleacaque,motos,84.0
Sayula,Isla-Acayucan,motos,54.0
Sayula,Acayucan-Cosoleacaque,motos,30.0
Chichimequillas,Ent. Aut. Mex. Qro.-Ent. Qro. Slp,motos,21.0
Seybaplaya,Champoton-Campeche,motos,31.0
Seybaplaya,Villa Madero-Seybaplaya,motos,13.0
Seybaplaya,Seybaplaya-Campeche,motos,19.0
La Carbonera (Ojo Caliente),Libramiento Oriente Saltillo,motos,18.0
Los Chorros,La Carbonera-Puerto Mexico,motos,28.0
Huachichil,Ent. Huachichil-Ent. Tramo Los Chorros,motos,19.0
Estacion Don (La Jaula),Estacion Don-Navojoa,motos,35.0
Fundicion,Navojoa-Cd Obregon,motos,35.0
"Tres Marias ""A""",Tres Marias-Cuernavaca,motos,18.0
Esperanza,Cd Obregon-Guaymas,motos,35.0
Guaymas,Libramiento Guaymas,motos,15.0
Hermosillo,Hermosillo-Magdalena,motos,35.0
Magdalena,Libramiento Magdalena,motos,12.0
Bermejillo,Gomez Palacio-Est Banderas,motos,53.0
Ceballos,Est Banderas-Corralitos,motos,61.0
Plan de Ayala,Loma Bonita-Plan de Ayala,motos,59.0
La Cuchilla,Matamoros-La Cuchilla,motos,33.0
Sanchez Magallanes (Aguadulce ),Agua Dulce-Cardenas,motos,32.0
Sanchez Magallanes (Aguadulce ),Agua Dulce-Entronque Magallanes,motos,16.0
